* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
291.137695 68.721 -141.6072
291.503906 68.561 -142.5745
291.870117 68.443 -143.2358
292.236328 68.374 -143.9412
292.602539 68.319 -144.9253
292.968750 68.234 -146.1440
293.334961 68.098 -147.3464
293.701172 67.930 -148.2786
294.067383 67.773 -148.8750
294.433594 67.663 -149.3186
294.799805 67.606 -149.9187
295.166016 67.570 -150.9006
295.532227 67.511 -152.2759
295.898438 67.398 -153.8672
296.264648 67.226 -155.4197
296.630859 67.014 -156.7249
296.997070 66.797 -157.7129
297.363281 66.602 -158.4788
297.729492 66.440 -159.2180
298.095703 66.293 -160.0886
298.461914 66.131 -161.0925
298.828125 65.933 -162.0603
299.194336 65.708 -162.7585
299.560547 65.492 -163.0608
299.926758 65.326 -163.0837
300.292969 65.227 -163.1499
300.659180 65.166 -163.5593
